"filename", "language", "JavaScript", "CSS", "HTML", "Docker", "JSON", "comment", "blank", "total"
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\.devcontainer\Dockerfile", "Docker", 0, 0, 0, 2, 0, 5, 5, 12
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\.devcontainer\devcontainer.json", "JSON", 0, 0, 0, 0, 10, 10, 6, 26
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\ohjaus1\ohjaus1.js", "JavaScript", 178, 0, 0, 0, 0, 153, 67, 398
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\ohjaus1\pohja.html", "HTML", 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\ohjaus2\index.html", "HTML", 0, 0, 116, 0, 0, 0, 33, 149
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\ohjaus2\nanonano.js", "JavaScript", 101, 0, 0, 0, 0, 11, 42, 154
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\ohjaus2\oma.css", "CSS", 0, 95, 0, 0, 0, 6, 28, 129
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vertaisarviointi\vko1\pohja.xhtml", "HTML", 0, 0, 28, 0, 0, 2, 2, 32
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vertaisarviointi\vko1\vt1.js", "JavaScript", 317, 0, 0, 0, 0, 28, 59, 404
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vertaisarviointi\vko1\vt1_alk.js", "JavaScript", 312, 0, 0, 0, 0, 27, 55, 394
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt1\pohja.xhtml", "HTML", 0, 0, 28, 0, 0, 2, 2, 32
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt1\vt1.js", "JavaScript", 262, 0, 0, 0, 0, 108, 80, 450
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt2\pohja.xhtml", "HTML", 0, 0, 83, 0, 0, 78, 19, 180
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt2\tyylit.css", "CSS", 0, 18, 0, 0, 0, 0, 8, 26
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt2\vt2 - almosttaso3.js", "JavaScript", 429, 0, 0, 0, 0, 115, 188, 732
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt2\vt2 taso1.js", "JavaScript", 161, 0, 0, 0, 0, 18, 57, 236
"c:\Users\jouko\Documents\Opiskelut\Web-kayttoliittymat\vt2\vt2.js", "JavaScript", 629, 0, 0, 0, 0, 153, 242, 1024
"Total", "-", 2389, 113, 268, 2, 10, 716, 893, 4391